"id","name","standard","version","framework","severity","geo_regions","paths_count","paths"
"aml.address_verification","Address verification","EU AMLD","5/6","other","medium","Global","2","policies/aml/address_verification/policy.rego;policies/aml/address_verification/policy_test.rego"
"aml.high_risk_country_edd","Enhanced due diligence for high-risk countries","EU AMLD","5/6","gatekeeper","medium","Global","2","policies/aml/high_risk_country_edd/policy.rego;policies/aml/high_risk_country_edd/policy_test.rego"
"aml.kyc_basic_cdd","Basic customer due diligence (KYC)","EU AMLD","5/6","other","medium","Global","2","policies/aml/kyc_basic_cdd/policy.rego;policies/aml/kyc_basic_cdd/policy_test.rego"
"aml.minimum_age","Minimum age check","EU AMLD","5/6","other","medium","Global","2","policies/aml/minimum_age/policy.rego;policies/aml/minimum_age/policy_test.rego"
"aml.pep_screening_required","PEP screening required","EU AMLD","5/6","gatekeeper","medium","Global","2","policies/aml/pep_screening_required/policy.rego;policies/aml/pep_screening_required/policy_test.rego"
"aml.sanctions_check","Sanctions list screening","EU AMLD","5/6","gatekeeper","medium","Global","2","policies/aml/sanctions_check/policy.rego;policies/aml/sanctions_check/policy_test.rego"
"aml.txn_monitoring_thresholds","Transaction monitoring thresholds","EU AMLD","5/6","gatekeeper","medium","Global","2","policies/aml/txn_monitoring_thresholds/policy.rego;policies/aml/txn_monitoring_thresholds/policy_test.rego"
"aml.ubo_identification","Ultimate Beneficial Owner identification","EU AMLD","5/6","other","medium","Global","2","policies/aml/ubo_identification/policy.rego;policies/aml/ubo_identification/policy_test.rego"
"betting.adr_provider_listed_uk","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/adr_provider_listed_uk/policy.rego;policies/betting/adr_provider_listed_uk/policy_test.rego"
"betting.ads_bonus_terms_fair_clear","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/ads_bonus_terms_fair_clear/policy.rego;policies/betting/ads_bonus_terms_fair_clear/policy_test.rego"
"betting.ads_no_minors_targeting","Ads — no minors targeting","other","current","other","medium","Global","2","policies/betting/ads_no_minors_targeting/policy.rego;policies/betting/ads_no_minors_targeting/policy_test.rego"
"betting.affordability_checks_uk","Affordability Checks (UK)","UKGC","current","other","medium","Europe","2","policies/betting/affordability_checks_uk/policy.rego;policies/betting/affordability_checks_uk/policy_test.rego"
"betting.age_verification_before_gambling_uk","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/age_verification_before_gambling_uk/policy.rego;policies/betting/age_verification_before_gambling_uk/policy_test.rego"
"betting.aml_high_risk_country_restrictions","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/aml_high_risk_country_restrictions/policy.rego;policies/betting/aml_high_risk_country_restrictions/policy_test.rego"
"betting.aml_sar_reporting_uk","AML SAR Reporting (UK)","UK AML / POCA","current","gatekeeper","medium","Global","2","policies/betting/aml_sar_reporting_uk/policy.rego;policies/betting/aml_sar_reporting_uk/policy_test.rego"
